0it [00:00, ?it/s]
7394it [01:28, 86.49it/s]
7404it [01:28, 88.58it/s]
7414it [01:28, 86.31it/s]
7424it [01:29, 86.87it/s]
7433it [01:29, 87.30it/s]
7442it [01:29, 85.26it/s]
7451it [01:29, 80.81it/s]
7461it [01:29, 85.00it/s]
7470it [01:29, 85.44it/s]
7479it [01:29, 84.16it/s]
7488it [01:29, 84.92it/s]
7497it [01:29, 84.27it/s]
7507it [01:30, 87.63it/s]
7518it [01:30, 90.99it/s]
7528it [01:30, 90.46it/s]
7539it [01:30, 93.20it/s]
7549it [01:30, 89.95it/s]
7559it [01:30, 86.53it/s]
7569it [01:30, 88.73it/s]
7579it [01:30, 89.79it/s]
7589it [01:30, 86.89it/s]
7599it [01:31, 88.63it/s]
7608it [01:31, 85.15it/s]
7617it [01:31, 83.70it/s]
7626it [01:31, 82.44it/s]
7635it [01:31, 78.32it/s]
7644it [01:31, 79.39it/s]
7652it [01:31, 76.67it/s]
7660it [01:31, 77.50it/s]
7669it [01:31, 79.78it/s]
7678it [01:32, 78.56it/s]
7686it [01:32, 78.54it/s]
7694it [01:32, 78.34it/s]
7703it [01:32, 80.64it/s]
7712it [01:32, 79.76it/s]
7721it [01:32, 81.81it/s]
7730it [01:32, 81.07it/s]
7739it [01:32, 83.23it/s]
7748it [01:32, 82.74it/s]
7757it [01:33, 83.69it/s]
